585500.000 ns           0 00000268
585550.000 ns           1 00000268
585600.000 ns           2 0000026a
585650.000 ns           3 0000026a
585700.000 ns           4 0000026a
585750.000 ns           5 0000026c
585800.000 ns           6 0000026c
585850.000 ns           7 0000026c
585900.000 ns           8 0000026c
585950.000 ns           9 0000026c
586000.000 ns          10 0000026c
586050.000 ns          11 0000026c
586100.000 ns          12 0000026e
586150.000 ns          13 0000026e
586200.000 ns          14 0000026e
586250.000 ns          15 00000270
586300.000 ns          16 00000270
586350.000 ns          17 00000270
586400.000 ns          18 00000270
586450.000 ns          19 00000952
586500.000 ns          20 00000952
586550.000 ns          21 00000952
586600.000 ns          22 00000952
586650.000 ns          23 00000952
586700.000 ns          24 0000078c
586750.000 ns          25 0000078c
586800.000 ns          26 0000078c
586850.000 ns          27 0000078c
586900.000 ns          28 0000078c
586950.000 ns          29 0000078c
587000.000 ns          30 0000078e
587050.000 ns          31 0000078e
587100.000 ns          32 0000078e
587150.000 ns          33 0000078e
587200.000 ns          34 0000078e
587250.000 ns          35 0000078e
587300.000 ns          36 0000078e
587350.000 ns          37 00000790
587400.000 ns          38 00000790
587450.000 ns          39 00000790
587500.000 ns          40 00000790
587550.000 ns          41 00000790
587600.000 ns          42 00000790
587650.000 ns          43 00000792
587700.000 ns          44 00000792
587750.000 ns          45 00000792
587800.000 ns          46 00000794
587850.000 ns          47 00000794
587900.000 ns          48 00000794
587950.000 ns          49 00000794
588000.000 ns          50 00000796
588050.000 ns          51 00000796
588100.000 ns          52 00000796
588150.000 ns          53 00000796
588200.000 ns          54 00000796
588250.000 ns          55 0000079a
588300.000 ns          56 0000079a
588350.000 ns          57 0000079a
588400.000 ns          58 0000079a
588450.000 ns          59 0000079a
588500.000 ns          60 0000079a
588550.000 ns          61 0000079a
588600.000 ns          62 0000079a
588650.000 ns          63 0000079e
588700.000 ns          64 0000079e
588750.000 ns          65 0000079e
588800.000 ns          66 000007a0
588850.000 ns          67 000007a0
588900.000 ns          68 000007a0
588950.000 ns          69 000007a0
589000.000 ns          70 000007a0
589050.000 ns          71 000007a0
589100.000 ns          72 000007a0
589150.000 ns          73 000007a0
589200.000 ns          74 000007a4
589250.000 ns          75 000007a4
589300.000 ns          76 000007a4
589350.000 ns          77 000007a4
589400.000 ns          78 000007a8
589450.000 ns          79 000007a8
589500.000 ns          80 000007a8
589550.000 ns          81 000007aa
589600.000 ns          82 000007aa
589650.000 ns          83 000007aa
589700.000 ns          84 000007aa
589750.000 ns          85 000007aa
589800.000 ns          86 000007aa
589850.000 ns          87 000007aa
589900.000 ns          88 000007aa
589950.000 ns          89 000007aa
590000.000 ns          90 000007aa
590050.000 ns          91 000007ae
590100.000 ns          92 000007ae
590150.000 ns          93 000007ae
590200.000 ns          94 000007b2
590250.000 ns          95 000007b2
590300.000 ns          96 000007b2
590350.000 ns          97 000007b4
590400.000 ns          98 000007b4
590450.000 ns          99 000007b4
590500.000 ns         100 000007b4
590550.000 ns         101 000007b8
590600.000 ns         102 000007b8
590650.000 ns         103 000007b8
590700.000 ns         104 000007b8
590750.000 ns         105 000007bc
590800.000 ns         106 000007bc
590850.000 ns         107 000007bc
590900.000 ns         108 000007bc
590950.000 ns         109 000007be
591000.000 ns         110 000007be
591050.000 ns         111 000007be
591100.000 ns         112 000007c0
591150.000 ns         113 000007c0
591200.000 ns         114 000007c0
591250.000 ns         115 000007c0
591300.000 ns         116 000007c0
591350.000 ns         117 000007c0
591400.000 ns         118 000007c0
591450.000 ns         119 000007c0
591500.000 ns         120 000007c4
591550.000 ns         121 000007c4
591600.000 ns         122 000007c4
591650.000 ns         123 000007c6
591700.000 ns         124 000007c6
591750.000 ns         125 000007c6
591800.000 ns         126 000007c8
591850.000 ns         127 000007c8
591900.000 ns         128 000007c8
591950.000 ns         129 000007c8
592000.000 ns         130 000007cc
592050.000 ns         131 000007cc
592100.000 ns         132 000007cc
592150.000 ns         133 000007cc
592200.000 ns         134 000007ce
592250.000 ns         135 000007ce
592300.000 ns         136 000007ce
592350.000 ns         137 000007ce
592400.000 ns         138 000007ce
592450.000 ns         139 000007d2
592500.000 ns         140 000006e8
592550.000 ns         141 000006e8
592600.000 ns         142 000006e8
592650.000 ns         143 000006e8
592700.000 ns         144 000006e8
592750.000 ns         145 000006e8
592800.000 ns         146 000006ea
592850.000 ns         147 000006ea
592900.000 ns         148 000006ea
592950.000 ns         149 000006ea
593000.000 ns         150 000006ea
593050.000 ns         151 000006ea
593100.000 ns         152 000006ea
593150.000 ns         153 000006ec
